,Bplasma_AtM_Blood,Bplasma_AtM_DUSP4,Bplasma_B_HSP,Bplasma_B_ISG15,Bplasma_Bcycling,Bplasma_Bgc_RGS13,Bplasma_Bm_ITGB1,Bplasma_Bm_NR4A2,Bplasma_Bm_TXNIP,Bplasma_Bn_NR4A2,Bplasma_Bn_TCL1A,Bplasma_Plasma_CD52,Bplasma_Plasma_IGHA1,Bplasma_Plasma_IGHG1,Bplasma_Plasma_MT1X,Bplasma_Plasmablast,CD4_ISG,CD4_Mix,CD4_Tem,CD4_Temra,CD4_Tfh,CD4_TfhTh1,CD4_Th17,CD4_Tm,CD4_Tn,CD4_Treg,CD8_gdT,CD8_IEL,CD8_ISG,CD8_MAIT,CD8_Tem,CD8_Temra,CD8_Tex,CD8_Tk,CD8_Tm,CD8_Tn,CD8_Tprolif,CD8_Trm,Endo_Endo_arteries_CLU,Endo_Endo_arteries_COL1A1,Endo_Endo_arteries_DNAJB1,Endo_Endo_capillaries_FABP4,Endo_Endo_capillaries_RGCC,Endo_Endo_lymphatics_PROX1,Endo_Endo_tips_ATP5F1E,Endo_Endo_tips_CXCR4,Endo_Endo_tips_DNAJB1,Endo_Endo_tips_KDR,Endo_Endo_veins_CLU,Endo_Endo_veins_COL4A1,Endo_Endo_veins_IGFBP5,Endo_Endo_veins_SELE,Fib_ADAMDEC1+ Fib,Fib_ADH1B+ Fib,Fib_CCL19 Fib,Fib_CD74+ Fib,Fib_CTNNB1+ Fib,Fib_Fib-like-SMC,Fib_Fib-SOX6+,Fib_HOPX Fib,Fib_HSPA6 Fib,Fib_IL6+ Fib,Fib_LRRC15+ Fib,Fib_MMP1+ Fib,Fib_MYH11+ SMC,Fib_Pericyte,Fib_PI16+ Fib,Fib_PvC,Fib_SFRP2+ Fib,Fib_SFRP4+ Fib,Fib_SOX6+Fib,Fib_STMN1+ proliferative Fib,ILC_ILC3,ILC_NK_CD16hi_FGFBP2,ILC_NK_CD16hi_NR4A3,ILC_NK_CD16lo_CREM,ILC_NK-CD16hi_CREM,ILC_NK-CD16hi_DNAJB1,ILC_NK-CD16hi_GZMK,ILC_NK-CD16hi_NFKBIA,ILC_NK-CD16hi-MKI67,ILC_NK-CD16hiCD56hi,ILC_NK-CD16lo-GZMK,ILC_NK-CD16lo-IL7R,ILC_NK-CD16loCD56lo,ILC_NK-ISG15,ILC_NK-MT1X,Myeloid_cDC_CD1C,Myeloid_cDC_CD207,Myeloid_cDC_CLEC9A,Myeloid_cDC_LAMP3,Myeloid_Macro_CLEC10A,Myeloid_Macro_CXCL9,Myeloid_Macro_IL1B,Myeloid_Macro_ISG15,Myeloid_Macro_LIPA,Myeloid_Macro_LYVE1,Myeloid_Macro_MKI67,Myeloid_Macro_NLRP3,Myeloid_Macro_PPARG,Myeloid_Macro_SPP1,Myeloid_Mast,Myeloid_Mono_CD14,Myeloid_Mono_CD14|FCGR3A,Myeloid_Mono_FCGR3A,Myeloid_Neutrophils,Myeloid_pDC
majorCluster,Bplasma,Bplasma,Bplasma,Bplasma,Bplasma,Bplasma,Bplasma,Bplasma,Bplasma,Bplasma,Bplasma,Bplasma,Bplasma,Bplasma,Bplasma,Bplasma,CD4,CD4,CD4,CD4,CD4,CD4,CD4,CD4,CD4,CD4,CD8,CD8,CD8,CD8,CD8,CD8,CD8,CD8,CD8,CD8,CD8,CD8,Endo,Endo,Endo,Endo,Endo,Endo,Endo,Endo,Endo,Endo,Endo,Endo,Endo,Endo,Fib,Fib,Fib,Fib,Fib,Fib,Fib,Fib,Fib,Fib,Fib,Fib,Fib,Fib,Fib,Fib,Fib,Fib,Fib,Fib,ILC,ILC,ILC,ILC,ILC,ILC,ILC,ILC,ILC,ILC,ILC,ILC,ILC,ILC,ILC,Myeloid,Myeloid,Myeloid,Myeloid,Myeloid,Myeloid,Myeloid,Myeloid,Myeloid,Myeloid,Myeloid,Myeloid,Myeloid,Myeloid,Myeloid,Myeloid,Myeloid,Myeloid,Myeloid,Myeloid
0_Post,0.101382489,0,0,0,0,0,0.069124424,0,0.175115207,0.004608295,0.649769585,0,0,0,0,0,0.002601908,0.028620989,0.025151778,0.054640069,0.002601908,0.000867303,0.038161318,0.278404163,0.530789245,0.038161318,0.001355538,0,0.001549187,0.04182804,0.049186677,0.203330751,0.00116189,0.000193648,0.026336174,0.67215337,0.000968242,0.001936483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.812705367,0.002190581,0,0,0,0.069003286,0.002190581,0,0.074479737,0.00109529,0.037239869,0,0.00109529,0,0.043526786,0.001116071,0.001116071,0,0.005580357,0,0,0,0.001116071,0,0,0,0.002232143,0,0,0.691964286,0.003348214,0.199776786,0.047991071,0.002232143
0_Pre,0.04137931,0,0,0,0,0,0.055172414,0,0.165517241,0,0.737931035,0,0,0,0,0,0.0027894,0.043933054,0.032078103,0.065550907,0.0027894,0,0.041143654,0.281729428,0.481868898,0.048117155,0.002336449,0.000687191,0.002336449,0.047416163,0.076003299,0.166987356,0,0,0.032572842,0.667537108,0.000687191,0.003435954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.867374005,0,0,0,0,0.045092838,0.00795756,0.00795756,0.050397878,0,0.021220159,0,0,0,0.016450217,0.000865801,0,0,0.002597403,0,0,0,0.002597403,0.000865801,0,0,0,0,0,0.741125541,0.002597403,0.203463204,0.028571429,0.000865801
1_Post,0.029325513,0,0,0.002932551,0,0,0.005865103,0,0.029325513,0,0.926686217,0.005865103,0,0,0,0,0.012672811,0.088709677,0.051843318,0.126728111,0.008064516,0.005760369,0.020737327,0.245391705,0.359447005,0.080645161,0.003258845,0.001396648,0.004888268,0.016294227,0.068668529,0.387104283,0.002094972,0,0.022811918,0.48207635,0.001396648,0.010009311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.756329114,0.003164557,0,0.003164557,0,0.015822785,0,0.006329114,0.199367089,0,0.015822785,0,0,0,0.010968921,0.001828154,0,0,0.009140768,0,0,0.001828154,0,0,0,0,0,0,0,0.574040219,0.014625229,0.33820841,0.047531993,0.001828154
1_Pre,0.019169329,0,0,0,0,0,0.009584665,0.003194888,0.047923323,0,0.907348243,0.012779553,0,0,0,0,0.009975062,0.059850374,0.028262677,0.060681629,0.00166251,0,0.039068994,0.348295927,0.377389859,0.074812968,0.001704407,0.000243487,0.003165328,0.013635257,0.037009983,0.310202094,0.001217434,0,0.018018018,0.596785975,0.004382761,0.013635257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.819277108,0.006024096,0,0.006024096,0,0.018072289,0.006024096,0.006024096,0.132530121,0,0.006024096,0,0,0,0.017006803,0.002267574,0,0,0.011337869,0.001133787,0,0,0,0.001133787,0,0.001133787,0,0,0,0.60090703,0.03968254,0.210884354,0.107709751,0.006802721
12-153_Post,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008695652,0.086956522,0.12173913,0.208695652,0,0,0,0.330434783,0.243478261,0,0.002389937,0.000503145,0.01081761,0.005031447,0.102389937,0.211320755,0,0,0.054213837,0.598113208,0.001006289,0.014213837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12-153_Pre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041666667,0.166666667,0.125,0,0,0,0.375,0.291666667,0,0.004944846,0.001141118,0.003042982,0.007987828,0.134271586,0.094332446,0,0,0.050969951,0.696462533,0.000760746,0.006085964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12-211_Post,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.066666667,0,0.133333333,0.133333333,0,0,0,0.266666667,0.4,0,0.002207506,0.002207506,0.016556291,0,0.073951435,0.225165563,0.001103753,0,0.043046358,0.630242826,0,0.005518764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12-267_Post,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01369863,0.150684932,0.493150685,0,0,0,0.205479452,0.136986301,0,0.005210918,0.000248139,0.011662531,0.005459057,0.091066998,0.495533499,0,0,0.041687345,0.327543424,0.001240695,0.020347395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12-267_Pre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0,0,0,0.25,0,0.002994012,0,0.005988024,0,0.058383234,0.562874251,0,0,0.047904192,0.305389222,0.001497006,0.01497006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
