"","Bplasma_AtM_Blood","Bplasma_AtM_DUSP4","Bplasma_B_HSP","Bplasma_B_ISG15","Bplasma_Bcycling","Bplasma_Bgc_RGS13","Bplasma_Bm_ITGB1","Bplasma_Bm_NR4A2","Bplasma_Bm_TXNIP","Bplasma_Bn_NR4A2","Bplasma_Bn_TCL1A","Bplasma_Plasma_CD52","Bplasma_Plasma_IGHA1","Bplasma_Plasma_IGHG1","Bplasma_Plasma_MT1X","Bplasma_Plasmablast","CD4_ISG","CD4_Mix","CD4_Tem","CD4_Temra","CD4_Tfh","CD4_TfhTh1","CD4_Th17","CD4_Tm","CD4_Tn","CD4_Treg","CD8_gdT","CD8_IEL","CD8_ISG","CD8_MAIT","CD8_Tem","CD8_Temra","CD8_Tex","CD8_Tk","CD8_Tm","CD8_Tn","CD8_Tprolif","CD8_Trm","Endo_Endo_arteries_CLU","Endo_Endo_arteries_COL1A1","Endo_Endo_arteries_DNAJB1","Endo_Endo_capillaries_FABP4","Endo_Endo_capillaries_RGCC","Endo_Endo_lymphatics_PROX1","Endo_Endo_tips_ATP5F1E","Endo_Endo_tips_CXCR4","Endo_Endo_tips_DNAJB1","Endo_Endo_tips_KDR","Endo_Endo_veins_CLU","Endo_Endo_veins_COL4A1","Endo_Endo_veins_IGFBP5","Endo_Endo_veins_SELE","Fib_ADAMDEC1+ Fib","Fib_ADH1B+ Fib","Fib_CCL19 Fib","Fib_CD74+ Fib","Fib_CTNNB1+ Fib","Fib_Fib-like-SMC","Fib_Fib-SOX6+","Fib_HOPX Fib","Fib_HSPA6 Fib","Fib_IL6+ Fib","Fib_LRRC15+ Fib","Fib_MMP1+ Fib","Fib_MYH11+ SMC","Fib_Pericyte","Fib_PI16+ Fib","Fib_PvC","Fib_SFRP2+ Fib","Fib_SFRP4+ Fib","Fib_SOX6+Fib","Fib_STMN1+ proliferative Fib","ILC_ILC3","ILC_NK_CD16hi_FGFBP2","ILC_NK_CD16hi_NR4A3","ILC_NK_CD16lo_CREM","ILC_NK-CD16hi_CREM","ILC_NK-CD16hi_DNAJB1","ILC_NK-CD16hi_GZMK","ILC_NK-CD16hi_NFKBIA","ILC_NK-CD16hi-MKI67","ILC_NK-CD16hiCD56hi","ILC_NK-CD16lo-GZMK","ILC_NK-CD16lo-IL7R","ILC_NK-CD16loCD56lo","ILC_NK-ISG15","ILC_NK-MT1X","ILC_Unknown","Myeloid_cDC_CD1C","Myeloid_cDC_CD207","Myeloid_cDC_CLEC9A","Myeloid_cDC_LAMP3","Myeloid_Macro_CLEC10A","Myeloid_Macro_CXCL9","Myeloid_Macro_IL1B","Myeloid_Macro_ISG15","Myeloid_Macro_LIPA","Myeloid_Macro_LYVE1","Myeloid_Macro_MKI67","Myeloid_Macro_NLRP3","Myeloid_Macro_PPARG","Myeloid_Macro_SPP1","Myeloid_Mast","Myeloid_Mono_CD14","Myeloid_Mono_CD14|FCGR3A","Myeloid_Mono_FCGR3A","Myeloid_Neutrophils","Myeloid_pDC"
"majorCluster","Bplasma","Bplasma","Bplasma","Bplasma","Bplasma","Bplasma","Bplasma","Bplasma","Bplasma","Bplasma","Bplasma","Bplasma","Bplasma","Bplasma","Bplasma","Bplasma","CD4","CD4","CD4","CD4","CD4","CD4","CD4","CD4","CD4","CD4","CD8","CD8","CD8","CD8","CD8","CD8","CD8","CD8","CD8","CD8","CD8","CD8","Endo","Endo","Endo","Endo","Endo","Endo","Endo","Endo","Endo","Endo","Endo","Endo","Endo","Endo","Fib","Fib","Fib","Fib","Fib","Fib","Fib","Fib","Fib","Fib","Fib","Fib","Fib","Fib","Fib","Fib","Fib","Fib","Fib","Fib","ILC","ILC","ILC","ILC","ILC","ILC","ILC","ILC","ILC","ILC","ILC","ILC","ILC","ILC","ILC","ILC","Myeloid","Myeloid","Myeloid","Myeloid","Myeloid","Myeloid","Myeloid","Myeloid","Myeloid","Myeloid","Myeloid","Myeloid","Myeloid","Myeloid","Myeloid","Myeloid","Myeloid","Myeloid","Myeloid","Myeloid"
"0_Post","0.1013824885","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0691244240","0.0000000000","0.1751152074","0.0046082949","0.6497695853","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0026019081","0.0286209887","0.0251517780","0.0546400694","0.0026019081","0.0008673027","0.0381613183","0.2784041631","0.5307892454","0.0381613183","0.0013555383","0.0000000000","0.0015491867","0.0418280403","0.0491866770","0.2033307514","0.0011618900","0.0001936483","0.0263361735","0.6721533695","0.0009682417","0.0019364833","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.8127053669","0.0021905805","0.0000000000","0.0000000000","0.0000000000","0.0690032859","0.0021905805","0.0000000000","0.0744797371","0.0010952903","0.0372398686","0.0000000000","0.0010952903","0.0000000000","0.0000000000","0.0435267857","0.0011160714","0.0011160714","0.0000000000","0.0055803571","0.0000000000","0.0000000000","0.0000000000","0.0011160714","0.0000000000","0.0000000000","0.0000000000","0.0022321429","0.0000000000","0.0000000000","0.6919642857","0.0033482143","0.1997767857","0.0479910714","0.0022321429"
"0_Pre","0.0413793103","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0551724138","0.0000000000","0.1655172414","0.0000000000","0.7379310345","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0027894003","0.0439330544","0.0320781032","0.0655509066","0.0027894003","0.0000000000","0.0411436541","0.2817294282","0.4818688982","0.0481171548","0.0023364486","0.0006871908","0.0023364486","0.0474161627","0.0760032985","0.1669873557","0.0000000000","0.0000000000","0.0325728422","0.6675371083","0.0006871908","0.0034359538","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.8673740053","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0450928382","0.0079575597","0.0079575597","0.0503978780","0.0000000000","0.0212201592","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0164502165","0.0008658009","0.0000000000","0.0000000000","0.0025974026","0.0000000000","0.0000000000","0.0000000000","0.0025974026","0.0008658009","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.7411255411","0.0025974026","0.2034632035","0.0285714286","0.0008658009"
"1_Post","0.029325513","0.000000000","0.000000000","0.002932551","0.000000000","0.000000000","0.005865103","0.000000000","0.029325513","0.000000000","0.926686217","0.005865103","0.000000000","0.000000000","0.000000000","0.000000000","0.012672811","0.088709677","0.051843318","0.126728111","0.008064516","0.005760369","0.020737327","0.245391705","0.359447005","0.080645161","0.003258845","0.001396648","0.004888268","0.016294227","0.068668529","0.387104283","0.002094972","0.000000000","0.022811918","0.482076350","0.001396648","0.010009311","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.756329114","0.003164557","0.000000000","0.003164557","0.000000000","0.015822785","0.000000000","0.006329114","0.199367089","0.000000000","0.015822785","0.000000000","0.000000000","0.000000000","0.000000000","0.010968921","0.001828154","0.000000000","0.000000000","0.009140768","0.000000000","0.000000000","0.001828154","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.574040219","0.014625229","0.338208410","0.047531993","0.001828154"
"1_Pre","0.0191693291","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0095846645","0.0031948882","0.0479233227","0.0000000000","0.9073482428","0.0127795527","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0099750623","0.0598503741","0.0282626766","0.0606816293","0.0016625104","0.0000000000","0.0390689942","0.3482959268","0.3773898587","0.0748129676","0.0017044071","0.0002434867","0.0031653275","0.0136352569","0.0370099830","0.3102020940","0.0012174336","0.0000000000","0.0180180180","0.5967859752","0.0043827611","0.0136352569","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.8192771084","0.0060240964","0.0000000000","0.0060240964","0.0000000000","0.0180722892","0.0060240964","0.0060240964","0.1325301205","0.0000000000","0.0060240964","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0170068027","0.0022675737","0.0000000000","0.0000000000","0.0113378685","0.0011337868","0.0000000000","0.0000000000","0.0000000000","0.0011337868","0.0000000000","0.0011337868","0.0000000000","0.0000000000","0.0000000000","0.6009070295","0.0396825397","0.2108843537","0.1077097506","0.0068027211"
"12-153_Post","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0086956522","0.0869565217","0.1217391304","0.2086956522","0.0000000000","0.0000000000","0.0000000000","0.3304347826","0.2434782609","0.0000000000","0.0023899371","0.0005031447","0.0108176101","0.0050314465","0.1023899371","0.2113207547","0.0000000000","0.0000000000","0.0542138365","0.5981132075","0.0010062893","0.0142138365","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000"
"12-153_Pre","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0416666667","0.1666666667","0.1250000000","0.0000000000","0.0000000000","0.0000000000","0.3750000000","0.2916666667","0.0000000000","0.0049448459","0.0011411183","0.0030429821","0.0079878281","0.1342715862","0.0943324458","0.0000000000","0.0000000000","0.0509699506","0.6964625333","0.0007607455","0.0060859642","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000","0.0000000000"
"12-211_Post","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.066666667","0.000000000","0.133333333","0.133333333","0.000000000","0.000000000","0.000000000","0.266666667","0.400000000","0.000000000","0.002207506","0.002207506","0.016556291","0.000000000","0.073951435","0.225165563","0.001103753","0.000000000","0.043046358","0.630242826","0.000000000","0.005518764","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000"
"12-267_Post","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.013698630","0.150684932","0.493150685","0.000000000","0.000000000","0.000000000","0.205479452","0.136986301","0.000000000","0.005210918","0.000248139","0.011662531","0.005459057","0.091066998","0.495533499","0.000000000","0.000000000","0.041687345","0.327543424","0.001240695","0.020347395","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000"
"12-267_Pre","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.750000000","0.000000000","0.000000000","0.000000000","0.000000000","0.250000000","0.000000000","0.002994012","0.000000000","0.005988024","0.000000000","0.058383234","0.562874251","0.000000000","0.000000000","0.047904192","0.305389222","0.001497006","0.014970060","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000","0.000000000"
