Sample_new,Bplasma_AtM_Blood,Bplasma_AtM_DUSP4,Bplasma_B_HSP,Bplasma_B_ISG15,Bplasma_Bcycling,Bplasma_Bgc_RGS13,Bplasma_Bm_ITGB1,Bplasma_Bm_NR4A2,Bplasma_Bm_TXNIP,Bplasma_Bn_NR4A2,Bplasma_Bn_TCL1A,Bplasma_Plasma_CD52,Bplasma_Plasma_IGHA1,Bplasma_Plasma_IGHG1,Bplasma_Plasma_MT1X,Bplasma_Plasmablast,CD4_ISG,CD4_Mix,CD4_Tem,CD4_Temra,CD4_Tfh,CD4_TfhTh1,CD4_Th17,CD4_Tm,CD4_Tn,CD4_Treg,CD8_IEL,CD8_ISG,CD8_MAIT,CD8_Tem,CD8_Temra,CD8_Tex,CD8_Tk,CD8_Tm,CD8_Tn,CD8_Tprolif,CD8_Trm,CD8_gdT,Endo_Endo_arteries_CLU,Endo_Endo_arteries_COL1A1,Endo_Endo_arteries_DNAJB1,Endo_Endo_capillaries_FABP4,Endo_Endo_capillaries_RGCC,Endo_Endo_lymphatics_PROX1,Endo_Endo_tips_ATP5F1E,Endo_Endo_tips_CXCR4,Endo_Endo_tips_DNAJB1,Endo_Endo_tips_KDR,Endo_Endo_veins_CLU,Endo_Endo_veins_COL4A1,Endo_Endo_veins_IGFBP5,Endo_Endo_veins_SELE,Epithelial/Tumor cells,Fib_ADAMDEC1+ Fib,Fib_ADH1B+ Fib,Fib_CCL19 Fib,Fib_CD74+ Fib,Fib_CTNNB1+ Fib,Fib_Fib-SOX6+,Fib_Fib-like-SMC,Fib_HOPX Fib,Fib_HSPA6 Fib,Fib_IL6+ Fib,Fib_LRRC15+ Fib,Fib_MMP1+ Fib,Fib_MYH11+ SMC,Fib_PI16+ Fib,Fib_Pericyte,Fib_PvC,Fib_SFRP2+ Fib,Fib_SFRP4+ Fib,Fib_SOX6+Fib,Fib_STMN1+ proliferative Fib,ILC_ILC3,ILC_NK-CD16hi-MKI67,ILC_NK-CD16hiCD56hi,ILC_NK-CD16hi_CREM,ILC_NK-CD16hi_DNAJB1,ILC_NK-CD16hi_GZMK,ILC_NK-CD16hi_NFKBIA,ILC_NK-CD16lo-GZMK,ILC_NK-CD16lo-IL7R,ILC_NK-CD16loCD56lo,ILC_NK-ISG15,ILC_NK-MT1X,ILC_NK_CD16hi_FGFBP2,ILC_NK_CD16hi_NR4A3,ILC_NK_CD16lo_CREM,ILC_Unknown,Myeloid_Macro_CLEC10A,Myeloid_Macro_CXCL9,Myeloid_Macro_IL1B,Myeloid_Macro_ISG15,Myeloid_Macro_LIPA,Myeloid_Macro_LYVE1,Myeloid_Macro_MKI67,Myeloid_Macro_NLRP3,Myeloid_Macro_PPARG,Myeloid_Macro_SPP1,Myeloid_Mast,Myeloid_Mono_CD14,Myeloid_Mono_CD14|FCGR3A,Myeloid_Mono_FCGR3A,Myeloid_Neutrophils,Myeloid_cDC_CD1C,Myeloid_cDC_CD207,Myeloid_cDC_CLEC9A,Myeloid_cDC_LAMP3,Myeloid_pDC,NA
0_Post,22,0,0,0,0,0,15,0,38,1,141,0,0,0,0,0,3,33,29,63,3,1,44,321,612,44,0,8,216,254,1050,6,1,136,3471,5,10,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,63,2,1,34,0,1,0,742,2,0,0,5,0,0,0,1,0,0,0,2,0,0,620,3,179,43,39,1,1,0,2,2096
0_Pre,6,0,0,0,0,0,8,0,24,0,107,0,0,0,0,0,4,63,46,94,4,0,59,404,691,69,5,17,345,553,1215,0,0,237,4857,5,25,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,19,0,0,17,3,0,8,0,0,0,327,0,0,0,3,0,0,0,3,1,0,0,0,0,0,856,3,235,33,19,1,0,0,1,1733
12-153_Post,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,14,24,0,0,0,38,28,0,4,86,40,814,1680,0,0,431,4755,8,113,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
12-153_Pre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,3,0,0,0,9,7,0,3,8,21,353,248,0,0,134,1831,2,16,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
12-211_Post,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0,0,0,4,6,0,2,15,0,67,204,1,0,39,571,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
12-267_Post,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,36,0,0,0,15,10,0,1,47,22,367,1997,0,0,168,1320,5,82,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
12-267_Pre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,4,0,39,376,0,0,32,204,1,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13-344_Post,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,15,12,0,0,0,12,15,0,14,142,13,935,1197,1,0,336,1576,1,46,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
13-344_Pre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,11,0,0,0,5,4,0,4,16,5,359,444,0,0,199,563,2,8,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13-348_Post,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,22,0,0,2,32,16,0,3,21,6,783,894,0,0,230,2734,0,16,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49
